size,cup size,hips,bra size,category,height,fit
20,5,49.0,42.0,0,67,1
8,4,32.0,32.0,1,62,2
20,3,48.0,38.0,0,71,1
8,4,42.0,34.0,0,65,2
12,3,38.0,36.0,0,61,1
12,4,39.0,36.0,1,67,1
12,2,40.0,36.0,1,70,1
20,4,50.0,38.0,0,68,1
26,4,35.0,44.0,0,67,1
12,4,42.0,36.0,0,67,1
8,5,37.0,34.0,0,65,0
12,2,43.0,36.0,1,67,1
12,3,41.0,36.0,1,64,2
8,2,40.0,34.0,1,64,1
8,2,40.0,36.0,0,62,1
8,3,35.0,36.0,0,65,1
12,2,47.0,38.0,0,63,1
15,4,44.0,40.0,1,66,1
12,2,40.0,36.0,1,67,1
26,8,48.0,38.0,0,64,1
4,3,34.0,34.0,0,62,1
4,6,34.0,30.0,0,65,1
12,3,43.0,36.0,0,68,1
8,1,40.0,36.0,0,72,1
12,0,40.0,34.0,1,64,0
12,7,41.0,36.0,1,63,1
15,8,44.0,42.0,1,63,1
8,4,41.0,34.0,0,66,1
8,3,40.0,34.0,1,69,1
8,3,36.0,36.0,0,65,2
4,4,39.0,36.0,1,67,1
26,5,45.0,36.0,0,72,0
32,5,55.0,42.0,0,61,0
8,2,38.0,36.0,1,66,1
26,3,34.0,40.0,0,67,1
8,7,42.0,36.0,0,67,0
18,4,43.0,36.0,1,65,2
15,5,54.0,38.0,1,63,1
26,6,48.0,42.0,0,66,1
4,4,37.0,34.0,1,65,1
8,2,40.0,38.0,0,69,2
4,2,38.0,32.0,1,66,1
12,6,42.0,36.0,0,65,1
12,2,42.0,36.0,0,64,1
8,2,37.0,34.0,0,67,1
12,6,38.0,38.0,1,70,0
20,5,55.0,38.0,0,72,1
15,5,48.0,38.0,0,68,2
38,4,60.0,46.0,0,70,0
15,3,45.0,40.0,0,63,2
9,4,42.0,38.0,1,66,1
4,2,32.0,34.0,1,62,1
4,2,36.0,32.0,0,61,1
20,7,47.0,38.0,0,64,1
12,3,38.0,36.0,1,68,1
12,4,42.0,34.0,1,70,1
4,5,40.0,36.0,0,64,2
20,8,45.0,38.0,0,67,1
4,2,37.0,34.0,1,65,1
4,3,37.0,34.0,0,65,1
20,5,44.0,38.0,0,67,0
4,2,34.0,32.0,1,62,1
8,2,36.0,36.0,1,64,1
20,6,35.0,36.0,0,67,1
20,5,42.0,44.0,0,64,0
8,4,37.0,34.0,0,65,1
8,0,41.0,36.0,1,64,1
8,5,42.0,38.0,0,66,1
8,2,37.0,34.0,0,69,1
8,3,37.0,36.0,0,65,1
12,5,35.0,36.0,1,65,0
8,4,36.0,34.0,0,64,1
12,4,33.0,36.0,1,67,1
21,5,46.0,40.0,1,64,2
11,2,44.0,36.0,1,67,1
4,2,33.0,34.0,1,67,1
20,4,47.0,40.0,1,72,1
12,3,38.0,36.0,0,64,0
20,3,48.0,42.0,1,64,1
8,4,41.0,34.0,0,69,2
12,5,40.0,38.0,1,65,2
8,2,35.0,34.0,0,67,1
4,4,37.0,34.0,0,64,1
12,5,40.0,34.0,1,67,0
8,4,42.0,36.0,0,64,2
1,3,32.0,28.0,1,68,1
32,9,48.0,38.0,1,66,0
8,3,40.0,36.0,1,64,1
4,3,38.0,34.0,0,63,2
32,4,35.0,42.0,1,66,2
12,3,34.0,34.0,1,64,1
12,4,40.0,38.0,1,63,2
12,7,41.0,32.0,0,65,1
8,5,36.0,32.0,0,64,0
12,3,35.0,34.0,1,62,1
8,6,41.0,36.0,0,63,1
12,3,42.0,36.0,0,63,1
15,4,50.0,40.0,0,65,2
38,4,55.0,44.0,0,65,2
20,2,48.0,38.0,0,62,1
12,4,38.0,36.0,1,63,1
15,8,42.0,38.0,0,68,0
12,2,41.0,36.0,0,68,0
15,2,43.0,38.0,0,68,1
4,2,33.0,34.0,1,66,1
15,4,41.0,38.0,1,65,1
20,8,51.0,38.0,1,67,1
1,2,33.0,34.0,1,66,1
26,2,30.0,38.0,0,60,2
8,5,34.0,32.0,0,63,1
12,3,40.0,36.0,0,70,1
26,4,35.0,44.0,0,67,1
1,3,34.0,30.0,1,67,1
8,2,35.0,36.0,0,63,1
38,6,52.0,44.0,0,67,0
8,4,39.0,36.0,1,60,1
4,2,33.0,34.0,0,62,1
12,4,42.0,38.0,0,65,1
4,3,39.0,36.0,0,65,2
27,6,55.0,42.0,1,69,1
15,7,48.0,36.0,0,66,1
4,2,37.0,34.0,0,62,1
9,3,40.0,38.0,1,69,2
15,4,44.0,36.0,1,68,2
12,4,40.0,36.0,1,68,2
20,4,44.0,38.0,0,67,1
5,4,31.0,34.0,1,61,1
12,9,41.0,34.0,1,63,1
8,2,40.0,34.0,0,70,1
4,3,35.0,34.0,1,64,0
4,4,32.0,32.0,0,60,1
4,2,44.0,36.0,0,60,1
12,4,35.0,36.0,1,57,1
8,2,36.0,34.0,1,69,1
20,4,45.0,42.0,0,64,0
8,4,39.0,36.0,0,64,2
8,2,35.0,32.0,1,67,1
4,4,30.0,32.0,0,64,1
12,3,41.0,38.0,1,67,1
12,3,44.0,36.0,0,61,2
12,3,39.0,32.0,1,68,1
12,3,45.0,34.0,1,65,0
4,5,40.0,34.0,0,67,2
8,5,36.0,32.0,0,64,1
20,6,51.0,40.0,0,68,1
1,4,37.0,34.0,1,59,0
8,3,37.0,34.0,1,63,1
4,5,35.0,36.0,1,62,1
1,4,37.0,32.0,1,68,1
1,4,36.0,32.0,1,66,1
8,5,40.0,32.0,0,67,1
12,2,36.0,36.0,1,70,1
4,3,37.0,32.0,0,64,1
26,5,50.0,42.0,0,66,1
12,4,45.0,36.0,1,66,1
12,3,36.0,38.0,0,63,2
4,2,34.0,34.0,1,60,1
1,2,33.0,34.0,1,66,1
12,2,35.0,38.0,0,66,1
8,3,41.0,34.0,1,62,1
38,5,52.0,44.0,0,67,0
12,9,35.0,36.0,1,61,0
12,5,41.0,38.0,1,67,1
4,2,42.0,32.0,1,62,1
32,5,52.0,42.0,1,65,1
8,2,37.0,34.0,1,65,0
18,4,42.0,40.0,1,63,2
20,6,45.0,38.0,0,66,1
8,4,35.0,32.0,0,70,1
15,5,46.0,42.0,0,63,1
12,6,41.0,30.0,0,67,1
15,5,41.0,34.0,1,66,2
5,3,36.0,32.0,1,62,2
38,3,57.0,46.0,0,66,0
8,2,38.0,32.0,1,70,1
12,5,42.0,36.0,0,60,2
12,6,39.0,34.0,1,64,1
20,5,47.0,38.0,1,62,1
1,0,33.0,32.0,1,62,1
15,6,35.0,40.0,0,65,1
12,5,40.0,34.0,0,61,2
26,4,42.0,42.0,0,66,0
8,3,35.0,36.0,0,63,2
4,4,35.0,32.0,0,60,1
8,4,39.0,34.0,1,64,1
15,5,44.0,36.0,1,68,1
12,3,42.0,40.0,1,66,1
4,3,36.0,34.0,0,65,1
8,3,40.0,36.0,0,64,1
12,4,41.0,36.0,0,59,1
38,6,60.0,42.0,0,67,0
8,4,37.0,34.0,1,63,2
32,5,51.0,40.0,0,66,1
4,1,35.0,34.0,1,64,0
4,2,36.0,34.0,0,64,2
4,3,38.0,36.0,1,67,0
24,6,57.0,42.0,1,63,1
12,5,41.0,36.0,0,66,1
26,7,46.0,36.0,0,62,2
5,0,35.0,32.0,1,61,1
8,3,41.0,38.0,0,62,1
9,2,40.0,34.0,1,69,2
8,4,38.0,34.0,1,63,1
8,2,36.0,34.0,1,63,2
4,4,35.0,34.0,1,60,1
12,6,38.0,36.0,1,61,1
8,5,40.0,34.0,1,69,0
12,2,42.0,34.0,0,70,1
8,6,44.0,34.0,1,67,1
4,2,35.0,32.0,0,63,1
8,5,38.0,34.0,0,67,1
12,3,39.0,36.0,1,65,2
15,6,48.0,38.0,1,64,1
9,2,40.0,34.0,1,63,1
26,3,48.0,38.0,0,66,1
12,4,41.0,38.0,0,68,0
4,3,38.0,32.0,1,67,2
8,3,36.0,34.0,1,64,1
8,7,41.0,30.0,0,65,0
15,3,35.0,36.0,1,65,1
8,3,35.0,34.0,0,67,1
8,5,40.0,34.0,0,67,1
4,0,36.0,34.0,1,64,1
21,6,30.0,38.0,1,66,1
8,3,38.0,34.0,1,62,1
8,2,35.0,32.0,0,62,1
15,2,48.0,38.0,1,65,1
12,3,40.0,36.0,1,67,1
8,4,33.0,34.0,0,62,2
4,0,34.0,34.0,0,64,1
8,5,42.0,38.0,0,66,1
15,6,30.0,38.0,0,67,1
12,2,40.0,36.0,1,68,1
8,5,39.0,32.0,1,68,0
4,4,34.0,28.0,1,65,0
32,6,47.0,46.0,0,64,2
13,5,39.0,40.0,1,64,1
7,4,37.0,34.0,1,69,2
1,0,32.0,34.0,1,59,1
12,4,38.0,36.0,1,65,1
12,3,43.0,34.0,1,67,2
8,4,38.0,32.0,1,62,1
20,4,47.0,36.0,0,65,2
7,2,42.0,36.0,1,69,1
15,2,43.0,36.0,1,64,1
32,4,51.0,42.0,0,69,2
8,3,35.0,36.0,1,63,1
20,7,45.0,36.0,1,65,1
4,0,38.0,36.0,0,66,1
15,7,44.0,38.0,0,70,1
26,5,45.0,38.0,1,68,0
12,3,44.0,36.0,0,67,1
8,3,38.0,32.0,1,66,1
12,2,40.0,38.0,0,67,1
15,0,35.0,36.0,1,70,0
11,2,34.0,36.0,1,64,1
12,2,35.0,38.0,0,69,1
26,7,53.0,42.0,0,58,1
4,4,39.0,34.0,1,67,1
12,4,41.0,38.0,0,66,2
12,0,35.0,34.0,0,66,0
12,0,44.0,36.0,1,68,1
15,0,41.0,36.0,0,68,0
26,4,50.0,42.0,0,70,1
8,2,36.0,34.0,1,66,1
1,3,35.0,32.0,1,62,2
20,4,45.0,38.0,1,68,1
12,5,42.0,38.0,0,64,2
12,4,33.0,34.0,0,69,2
12,5,40.0,34.0,0,66,0
15,4,41.0,36.0,1,66,0
20,5,35.0,40.0,0,66,1
32,4,60.0,40.0,0,64,1
12,4,43.0,36.0,1,63,1
4,2,35.0,32.0,0,66,1
8,5,33.0,34.0,0,64,1
4,2,38.0,34.0,0,63,1
4,4,34.0,32.0,1,62,1
4,2,35.0,34.0,0,64,1
1,3,39.0,30.0,1,62,1
8,4,40.0,34.0,1,69,1
7,4,37.0,32.0,1,62,1
12,4,45.0,36.0,1,66,1
5,2,33.0,32.0,1,64,1
8,5,37.0,34.0,0,68,2
32,2,55.0,46.0,0,66,2
4,4,33.0,34.0,0,66,1
18,3,48.0,38.0,1,67,1
26,2,50.0,38.0,0,67,0
4,0,37.0,34.0,1,64,1
8,4,35.0,34.0,0,62,0
8,2,39.0,36.0,1,68,2
8,4,37.0,34.0,1,69,1
4,2,39.0,34.0,1,70,1
20,4,44.0,44.0,0,61,1
15,3,42.0,36.0,0,64,2
4,2,40.0,34.0,1,64,1
11,3,40.0,38.0,1,65,0
4,0,38.0,34.0,1,64,2
12,3,38.0,36.0,0,71,1
12,6,37.0,32.0,1,63,1
9,6,38.0,34.0,1,66,1
9,2,38.0,34.0,1,64,1
12,4,41.0,34.0,1,70,0
12,4,38.0,34.0,0,64,1
8,3,35.0,34.0,0,62,2
9,3,35.0,34.0,1,61,2
1,0,34.0,32.0,0,64,1
12,5,41.0,36.0,0,66,2
32,4,40.0,44.0,0,66,1
38,4,50.0,40.0,0,64,1
1,3,32.0,34.0,0,62,1
26,4,50.0,40.0,0,67,1
21,5,40.0,38.0,1,61,2
20,3,46.0,36.0,0,66,2
4,0,36.0,34.0,0,61,1
12,3,46.0,36.0,0,65,1
8,2,33.0,34.0,1,69,1
8,4,36.0,34.0,0,65,1
15,2,40.0,38.0,0,67,2
4,2,35.0,34.0,0,64,1
12,3,38.0,34.0,1,66,1
8,0,35.0,34.0,0,62,1
26,3,58.0,42.0,0,69,1
4,2,35.0,34.0,0,68,1
1,2,35.0,34.0,1,62,1
13,6,40.0,36.0,1,68,2
8,6,36.0,32.0,1,66,1
32,2,45.0,40.0,0,69,1
12,5,40.0,36.0,0,63,1
15,4,45.0,38.0,1,64,1
20,2,43.0,38.0,0,64,2
32,5,57.0,44.0,0,63,2
4,2,36.0,32.0,1,63,1
38,7,54.0,46.0,0,70,0
4,0,38.0,34.0,1,64,1
32,9,47.0,36.0,0,68,1
20,5,51.0,40.0,0,65,1
4,4,35.0,34.0,0,73,1
8,2,38.0,34.0,1,66,1
4,2,35.0,34.0,1,65,1
8,2,39.0,34.0,0,66,1
4,3,35.0,32.0,1,63,2
8,3,39.0,34.0,1,67,1
26,5,50.0,42.0,1,62,1
8,4,42.0,32.0,0,66,1
8,0,37.0,36.0,1,67,2
12,4,35.0,34.0,1,64,1
26,7,42.0,34.0,1,67,1
20,4,43.0,42.0,0,66,2
8,3,38.0,34.0,0,65,1
18,4,43.0,36.0,1,64,2
4,0,35.0,36.0,0,65,1
8,2,40.0,34.0,1,67,1
15,6,42.0,36.0,1,66,1
12,3,46.0,38.0,0,66,1
12,2,40.0,34.0,0,61,0
8,4,40.0,34.0,0,66,1
12,8,36.0,34.0,0,69,2
8,3,40.0,32.0,1,66,1
26,5,58.0,44.0,1,65,1
12,2,45.0,38.0,1,64,1
12,3,41.0,36.0,0,67,1
12,2,42.0,38.0,0,67,1
4,0,36.0,36.0,1,64,1
20,5,42.0,40.0,1,71,2
4,5,38.0,34.0,0,62,2
12,3,42.0,36.0,0,64,1
20,6,40.0,42.0,1,68,1
13,5,44.0,42.0,1,68,0
15,3,41.0,38.0,1,68,1
12,6,40.0,32.0,1,66,1
12,3,41.0,38.0,1,66,1
8,3,39.0,34.0,0,66,1
20,2,44.0,36.0,1,70,2
20,8,41.0,40.0,1,68,1
15,6,52.0,38.0,0,62,1
8,2,39.0,36.0,0,64,1
4,2,36.0,32.0,0,62,1
8,4,39.0,36.0,0,64,1
12,4,42.0,40.0,0,65,1
4,3,37.0,34.0,0,62,1
8,3,40.0,34.0,1,67,1
32,6,54.0,44.0,1,66,2
4,0,35.0,34.0,1,69,1
8,3,36.0,32.0,1,66,0
1,2,34.0,36.0,1,66,1
4,5,36.0,30.0,1,63,0
8,4,36.0,34.0,1,64,1
8,4,37.0,36.0,1,65,1
8,4,40.0,34.0,1,63,1
20,5,40.0,36.0,0,68,1
12,7,45.0,36.0,0,61,1
20,5,42.0,36.0,0,60,1
4,3,36.0,36.0,0,67,1
32,5,48.0,44.0,0,68,0
4,3,39.0,34.0,1,66,1
15,5,41.0,40.0,0,64,1
4,3,34.0,32.0,1,66,2
1,2,30.0,34.0,1,63,1
12,6,39.0,34.0,1,67,1
4,3,40.0,34.0,0,64,1
12,5,41.0,36.0,1,63,1
15,9,45.0,36.0,0,63,1
32,6,40.0,48.0,0,69,1
8,3,40.0,36.0,0,63,1
1,0,36.0,32.0,1,65,1
26,3,51.0,42.0,0,62,1
15,5,41.0,36.0,1,67,1
12,4,38.0,38.0,0,64,1
12,3,40.0,38.0,1,68,1
8,3,36.0,36.0,0,66,1
4,2,32.0,34.0,0,64,1
20,4,45.0,40.0,1,69,1
8,2,37.0,34.0,0,63,1
5,5,35.0,32.0,1,66,1
5,3,33.0,32.0,1,63,2
20,6,35.0,44.0,1,68,1
20,7,49.0,38.0,0,68,1
26,5,52.0,44.0,1,66,1
20,5,45.0,40.0,0,61,2
5,2,32.0,32.0,1,62,1
8,3,38.0,36.0,1,65,1
20,4,55.0,42.0,0,62,1
12,5,55.0,38.0,0,72,1
1,2,32.0,32.0,1,64,1
8,2,38.0,34.0,0,71,2
12,4,41.0,36.0,1,64,1
12,2,39.0,36.0,0,71,2
20,8,47.0,38.0,0,64,1
15,4,42.0,38.0,0,61,1
26,6,49.0,38.0,1,66,1
20,6,47.0,38.0,0,66,1
12,3,38.0,36.0,0,68,2
15,5,50.0,40.0,1,62,0
12,3,35.0,38.0,1,60,1
8,3,36.0,36.0,0,62,1
8,0,38.0,32.0,1,63,1
12,11,42.0,34.0,0,64,1
20,4,42.0,36.0,0,62,2
12,8,41.0,34.0,1,63,0
12,2,45.0,34.0,1,64,1
12,3,41.0,36.0,1,66,1
32,3,30.0,40.0,0,70,1
8,4,36.0,34.0,1,69,1
26,5,50.0,42.0,1,59,1
12,6,42.0,34.0,1,67,1
4,2,38.0,34.0,1,63,1
12,5,42.0,36.0,0,66,0
4,2,40.0,32.0,0,62,1
4,2,36.0,34.0,0,62,2
4,2,36.0,34.0,1,60,1
8,3,40.0,36.0,0,66,1
8,6,38.0,36.0,0,65,1
32,4,55.0,42.0,0,66,1
8,2,34.0,34.0,0,62,1
15,4,42.0,38.0,1,64,1
12,2,46.0,36.0,0,71,1
4,5,41.0,34.0,0,64,1
4,3,39.0,34.0,0,67,1
1,3,36.0,32.0,1,61,1
15,4,36.0,40.0,1,64,1
12,6,49.0,38.0,0,65,0
20,3,44.0,40.0,0,66,0
4,2,34.0,34.0,0,63,1
12,2,30.0,36.0,0,65,1
12,5,35.0,34.0,1,64,2
12,3,44.0,38.0,0,64,2
15,4,47.0,40.0,0,66,1
8,4,42.0,32.0,0,70,1
8,5,37.0,32.0,1,67,1
7,4,33.0,34.0,1,62,1
8,0,42.0,36.0,0,64,0
15,3,45.0,38.0,0,66,1
4,0,35.0,34.0,1,61,1
8,3,38.0,34.0,1,69,1
12,2,38.0,34.0,1,63,0
20,6,51.0,42.0,1,63,1
26,4,51.0,38.0,0,64,1
20,3,50.0,36.0,0,66,1
32,6,53.0,44.0,1,68,1
38,4,49.0,44.0,0,66,1
4,0,37.0,34.0,0,62,1
20,5,45.0,36.0,1,66,1
32,7,30.0,42.0,0,64,1
26,8,56.0,44.0,0,63,1
12,4,30.0,36.0,1,66,1
15,2,45.0,36.0,0,61,1
4,2,33.0,34.0,1,69,1
11,3,39.0,36.0,1,71,2
12,4,40.0,36.0,1,64,1
21,3,40.0,38.0,1,65,2
12,4,34.0,34.0,0,69,1
12,3,40.0,36.0,0,66,1
4,2,30.0,36.0,1,71,1
4,0,35.0,34.0,1,63,0
15,3,47.0,38.0,1,68,2
12,4,40.0,36.0,1,66,1
15,4,44.0,38.0,1,66,0
4,0,35.0,34.0,1,64,1
12,2,39.0,36.0,1,58,2
12,3,41.0,38.0,1,65,1
38,7,58.0,42.0,0,66,2
8,3,41.0,34.0,0,65,1
8,5,34.0,32.0,1,62,1
8,5,40.0,34.0,1,65,1
11,4,41.0,36.0,1,70,2
8,3,36.0,36.0,1,60,1
8,4,35.0,36.0,0,61,1
4,2,36.0,34.0,0,66,1
15,6,41.0,36.0,0,71,1
4,4,38.0,34.0,0,63,2
8,3,36.0,36.0,0,59,1
8,3,36.0,32.0,0,68,2
12,3,39.0,36.0,0,59,2
4,4,38.0,34.0,1,68,1
12,5,39.0,34.0,0,63,0
8,2,35.0,34.0,1,63,1
12,3,37.0,36.0,0,59,1
20,7,43.0,34.0,0,66,1
12,4,39.0,38.0,1,64,0
8,2,31.0,36.0,1,61,1
4,3,35.0,34.0,0,65,2
32,7,54.0,42.0,0,67,1
8,4,35.0,34.0,0,61,1
8,2,38.0,34.0,1,67,1
9,5,40.0,34.0,1,59,1
4,2,35.0,36.0,0,66,1
8,3,35.0,34.0,1,63,0
32,4,50.0,40.0,1,68,0
20,4,46.0,42.0,0,63,0
18,8,42.0,38.0,1,64,1
26,4,45.0,40.0,1,69,1
15,3,45.0,36.0,1,73,1
8,4,37.0,32.0,1,63,2
15,5,45.0,36.0,1,64,0
12,3,35.0,38.0,0,62,1
1,5,39.0,32.0,1,62,1
4,4,34.0,30.0,1,63,0
4,2,36.0,32.0,0,63,1
4,3,36.0,34.0,0,68,2
38,4,60.0,46.0,1,67,1
7,4,32.0,34.0,1,63,1
12,3,44.0,38.0,1,67,1
4,3,38.0,34.0,1,66,1
